Team Name,Piedmont Motorsports,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 23, 2021",,,,,
Race Location,"Lafayette, AL",,,,,
Race Time Start,1:05 PM Central,,,,,
Race Time End,1:15 PM Central,,,,,
Race Type (dropdown),10-Min Most Laps,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,20.20,,,,,
2,18.37,,,,,
3,18.53,,,,,
4,16.84,,,,,
5,16.18,,,,,
6,21.60,,,,,
7,16.37,,,,,
8,16.11,,,,,
9,21.09,,,,,
10,20.53,,,,,
11,16.70,,,,,
12,16.46,,,,,
13,17.04,,,,,
14,16.82,,,,,
15,16.27,,,,,
16,19.36,,,,,
17,18.47,,,,,
18,16.01,,,,,
19,16.83,,,,,
20,16.25,,,,,
21,16.05,,,,,
22,16.25,,,,,
23,21.58,,,,,
24,16.12,,,,,
25,15.45,,,,,
26,16.68,,,,,
27,15.44,,,,,
28,16.08,,,,,
29,20.70,,,,,
30,17.56,,,,,
31,15.95,,,,,
32,17.24,,,,,
33,15.67,,,,,
34,15.02,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
