Team Name,RC Lions,,,,,EXAMPLE,,,,,,,,,,,,,,,,,,,
Team ID,,,,,,,,,,,,,,,,,,,,,,,,,
Race Date,"April 23, 2021",,,,,,,,,,,,,,,,,,,,,,,,
Race Location,R.L.Turner Student Parking Lot,,,,,,,,,,,,,,,,,,,,,,,,
Race Time Start,12:17,,,,,,,,,,,,,,,,,,,,,,,,
Race Time End,12:27,,,,,,,,,,,,,,,,,,,,,,,,
Race Type (dropdown),10-Min Most Laps,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Result (dropdown),Finished,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Lap Number,Lap Time in seconds,,,,,,,,,,,,,,,,,,,,,,,,
1,22.27,,,,,,,,,,,,,,,,,,,,,,,,
2,33.93,,,,,,,,,,,,,,,,,,,,,,,,
3,32.75,,,,,,,,,,,,,,,,,,,,,,,,
4,22.14,,,,,,,,,,,,,,,,,,,,,,,,
5,93.10,,,,,,,,,,,,,,,,,,,,,,,,
6,19.65,,,,,,,,,,,,,,,,,,,,,,,,
7,98.08,1.38.08,,,,,,,,,,,,,,,,,,,,,,,
8,49.52,,,,,,,,,,,,,,,,,,,,,,,,
9,18.83,,,,,,,,,,,,,,,,,,,,,,,,
10,20.74,,,,,,,,,,,,,,,,,,,,,,,,
11,19.72,,,,,,,,,,,,,,,,,,,,,,,,
12,47.26,,,,,,,,,,,,,,,,,,,,,,,,
13,18.60,,,,,,,,,,,,,,,,,,,,,,,,
14,19.06,,,,,,,,,,,,,,,,,,,,,,,,
15,19.80,,,,,,,,,,,,,,,,,,,,,,,,
16,18.61,,,,,,,,,,,,,,,,,,,,,,,,
17,18.48,,,,,,,,,,,,,,,,,,,,,,,,
18,19.36,,,,,,,,,,,,,,,,,,,,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Pit Stop Laps & Reasons,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tires,,,,,,,,,,,,,,,,,,,,,,,,
3,Tires,,,,,,,,,,,,,,,,,,,,,,,,
5,Tires,,,,,,,,,,,,,,,,,,,,,,,,
7,General Repair,,,,,,,,,,,,,,,,,,,,,,,,
8,Tires,,,,,,,,,,,,,,,,,,,,,,,,
12,Tires,,,,,,,,,,,,,,,,,,,,,,,,
