Team Name,Swamp Shifters,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 24, 2021",,,,,
Race Location,Barbra Golman High,,,,,
Race Time Start,12:33 PM,,,,,
Race Time End,12:44 PM,,,,,
Race Type (dropdown),10-Min Most Laps,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,17.03,,,,,
2,15.34,,,,,
3,16.27,,,,,
4,21.97,,,,,
5,16.04,,,,,
6,18.69,,,,,
7,16.96,,,,,
8,17.38,,,,,
9,16.76,,,,,
10,21.08,,,,,
11,19.41,,,,,
12,16.18,,,,,
13,16.48,,,,,
14,16.65,,,,,
15,16.05,,,,,
16,16.56,,,,,
17,15.95,,,,,
18,19.20,,,,,
19,16.88,,,,,
20,16.29,,,,,
21,17.50,,,,,
22,18.68,,,,,
23,18.52,,,,,
24,16.38,,,,,
25,19.62,,,,,
26,37.50,,,,,
27,23.24,,,,,
28,29.20,,,,,
29,17.13,,,,,
30,15.80,,,,,
31,18.49,,,,,
32,19.01,,,,,
,,,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
26,General Repair,,,,,
29,General Repair,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
