Team Name,Nodaway Holt STEM,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 26, 2021",,,,,
Race Location,Nodaway Holt HS Gym Graham Missouri,,,,,
Race Time Start,1:45,,,,,
Race Time End,1:55,,,,,
Race Type (dropdown),10-Min Most Laps,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,25.99,,,,,
2,26.28,,,,,
3,27.78,,,,,
4,27.23,,,,,
5,26.43,,,,,
6,26.59,,,,,
7,26.62,,,,,
8,29.33,,,,,
9,25.88,,,,,
10,23.80,,,,,
11,28.16,,,,,
12,27.95,,,,,
13,26.02,,,,,
14,27.25,,,,,
15,24.33,,,,,
16,25.77,,,,,
17,26.22,,,,,
18,25.09,,,,,
19,23.79,,,,,
20,24.53,,,,,
21,25.47,,,,,
22,24.95,,,,,
23,23.59,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
NA,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
