Team Name,Piedmont Motorsports,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 23, 2021",,,,,
Race Location,"Lafayette, AL",,,,,
Race Time Start,1:28 PM Central,,,,,
Race Time End,1:58 PM Central,,,,,
Race Type (dropdown),30-Min Most Laps,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,15.72,,,,,
2,16.01,,,,,
3,15.06,,,,,
4,16.13,,,,,
5,15.93,,,,,
6,15.61,,,,,
7,15.76,,,,,
8,15.53,,,,,
9,15.52,,,,,
10,17.06,,,,,
11,15.65,,,,,
12,15.18,,,,,
13,15.39,,,,,
14,15.82,,,,,
15,16.27,,,,,
16,15.50,,,,,
17,15.29,,,,,
18,15.67,,,,,
19,15.13,,,,,
20,16.00,,,,,
21,16.11,,,,,
22,15.68,,,,,
23,19.29,,,,,
24,15.81,,,,,
25,16.97,,,,,
26,15.92,,,,,
27,15.58,,,,,
28,15.69,,,,,
29,21.33,,,,,
30,15.15,,,,,
31,18.43,,,,,
32,15.67,,,,,
33,15.81,,,,,
34,17.67,,,,,
35,15.66,,,,,
36,16.40,,,,,
37,19.02,,,,,
38,15.66,,,,,
39,15.44,,,,,
40,15.59,,,,,
41,16.22,,,,,
42,16.66,,,,,
43,15.95,,,,,
44,15.84,,,,,
45,16.56,,,,,
46,16.01,,,,,
47,16.99,,,,,
48,15.77,,,,,
49,15.96,,,,,
50,16.95,,,,,
51,17.64,,,,,
52,16.22,,,,,
53,16.37,,,,,
54,16.68,,,,,
55,138.98,,,,,
56,17.62,,,,,
57,17.61,,,,,
58,16.99,,,,,
59,21.42,,,,,
60,16.86,,,,,
61,17.25,,,,,
62,17.32,,,,,
63,16.57,,,,,
64,17.28,,,,,
65,16.42,,,,,
66,16.90,,,,,
67,19.65,,,,,
68,19.55,,,,,
69,17.14,,,,,
70,16.46,,,,,
71,16.91,,,,,
72,19.54,,,,,
73,17.03,,,,,
74,16.93,,,,,
75,20.34,,,,,
76,19.33,,,,,
77,16.34,,,,,
78,16.76,,,,,
79,20.23,,,,,
80,17.23,,,,,
81,17.66,,,,,
82,16.75,,,,,
83,15.15,,,,,
84,18.43,,,,,
85,15.67,,,,,
86,15.81,,,,,
87,17.67,,,,,
88,15.66,,,,,
89,16.40,,,,,
90,19.02,,,,,
91,15.66,,,,,
92,15.44,,,,,
93,15.59,,,,,
94,16.86,,,,,
95,17.25,,,,,
96,17.32,,,,,
97,16.57,,,,,
98,15.18,,,,,
99,15.67,,,,,
100,15.59,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
54,Battery,,,,,
55,General Repair,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
