Team Name,RC Lions,,,,,EXAMPLE,,,,,,,,,,,,,,,,,,,
Team ID,,,,,,,,,,,,,,,,,,,,,,,,,
Race Date,"April 23, 2021",,,,,,,,,,,,,,,,,,,,,,,,
Race Location,R.L.Turner Parking Lot,,,,,,,,,,,,,,,,,,,,,,,,
Race Time Start,12:41,,,,,,,,,,,,,,,,,,,,,,,,
Race Time End,1:11,,,,,,,,,,,,,,,,,,,,,,,,
Race Type (dropdown),30-Min Most Laps,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Result (dropdown),Finished,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Lap Number,Lap Time in seconds,,,,,,,,,,,,,,,,,,,,,,,,
1,19.58,,,,,,,,,,,,,,,,,,,,,,,,
2,19.55,,,,,,,,,,,,,,,,,,,,,,,,
3,18.23,,,,,,,,,,,,,,,,,,,,,,,,
4,16.50,,,,,,,,,,,,,,,,,,,,,,,,
5,17.08,,,,,,,,,,,,,,,,,,,,,,,,
6,18.07,,,,,,,,,,,,,,,,,,,,,,,,
7,17.04,,,,,,,,,,,,,,,,,,,,,,,,
8,18.82,,,,,,,,,,,,,,,,,,,,,,,,
9,16.71,,,,,,,,,,,,,,,,,,,,,,,,
10,16.53,,,,,,,,,,,,,,,,,,,,,,,,
11,17.25,,,,,,,,,,,,,,,,,,,,,,,,
12,16.48,,,,,,,,,,,,,,,,,,,,,,,,
13,16.32,,,,,,,,,,,,,,,,,,,,,,,,
14,15.61,,,,,,,,,,,,,,,,,,,,,,,,
15,15.82,,,,,,,,,,,,,,,,,,,,,,,,
16,15.95,,,,,,,,,,,,,,,,,,,,,,,,
17,16.44,,,,,,,,,,,,,,,,,,,,,,,,
18,16.51,,,,,,,,,,,,,,,,,,,,,,,,
19,16.49,,,,,,,,,,,,,,,,,,,,,,,,
20,16.87,,,,,,,,,,,,,,,,,,,,,,,,
21,16.84,,,,,,,,,,,,,,,,,,,,,,,,
22,15.98,,,,,,,,,,,,,,,,,,,,,,,,
23,16.37,,,,,,,,,,,,,,,,,,,,,,,,
24,16.51,,,,,,,,,,,,,,,,,,,,,,,,
25,28.87,,,,,,,,,,,,,,,,,,,,,,,,
26,16.52,,,,,,,,,,,,,,,,,,,,,,,,
27,15.31,,,,,,,,,,,,,,,,,,,,,,,,
28,16.27,,,,,,,,,,,,,,,,,,,,,,,,
29,15.68,,,,,,,,,,,,,,,,,,,,,,,,
30,15.56,,,,,,,,,,,,,,,,,,,,,,,,
31,15.87,,,,,,,,,,,,,,,,,,,,,,,,
32,16.28,,,,,,,,,,,,,,,,,,,,,,,,
33,16.74,,,,,,,,,,,,,,,,,,,,,,,,
34,15.96,,,,,,,,,,,,,,,,,,,,,,,,
35,15.02,,,,,,,,,,,,,,,,,,,,,,,,
36,15.53,,,,,,,,,,,,,,,,,,,,,,,,
37,15.73,,,,,,,,,,,,,,,,,,,,,,,,
38,16.09,,,,,,,,,,,,,,,,,,,,,,,,
39,15.30,,,,,,,,,,,,,,,,,,,,,,,,
40,15.98,,,,,,,,,,,,,,,,,,,,,,,,
41,15.96,,,,,,,,,,,,,,,,,,,,,,,,
42,15.95,,,,,,,,,,,,,,,,,,,,,,,,
43,17.60,,,,,,,,,,,,,,,,,,,,,,,,
44,14.41,,,,,,,,,,,,,,,,,,,,,,,,
45,15.51,,,,,,,,,,,,,,,,,,,,,,,,
46,16.54,,,,,,,,,,,,,,,,,,,,,,,,
47,15.86,,,,,,,,,,,,,,,,,,,,,,,,
48,15.76,,,,,,,,,,,,,,,,,,,,,,,,
49,15.69,,,,,,,,,,,,,,,,,,,,,,,,
50,16.35,,,,,,,,,,,,,,,,,,,,,,,,
51,34.54,,,,,,,,,,,,,,,,,,,,,,,,
52,15.98,,,,,,,,,,,,,,,,,,,,,,,,
53,15.28,,,,,,,,,,,,,,,,,,,,,,,,
54,15.71,,,,,,,,,,,,,,,,,,,,,,,,
55,17.71,,,,,,,,,,,,,,,,,,,,,,,,
56,16.81,,,,,,,,,,,,,,,,,,,,,,,,
57,15.82,,,,,,,,,,,,,,,,,,,,,,,,
58,15.20,,,,,,,,,,,,,,,,,,,,,,,,
59,16.50,,,,,,,,,,,,,,,,,,,,,,,,
60,16.70,,,,,,,,,,,,,,,,,,,,,,,,
61,15.07,,,,,,,,,,,,,,,,,,,,,,,,
62,15.14,,,,,,,,,,,,,,,,,,,,,,,,
63,15.61,,,,,,,,,,,,,,,,,,,,,,,,
64,15.18,,,,,,,,,,,,,,,,,,,,,,,,
65,15.91,,,,,,,,,,,,,,,,,,,,,,,,
66,15.95,,,,,,,,,,,,,,,,,,,,,,,,
67,16.97,,,,,,,,,,,,,,,,,,,,,,,,
68,15.90,,,,,,,,,,,,,,,,,,,,,,,,
69,16.60,,,,,,,,,,,,,,,,,,,,,,,,
70,15.75,,,,,,,,,,,,,,,,,,,,,,,,
71,16.61,,,,,,,,,,,,,,,,,,,,,,,,
72,15.72,,,,,,,,,,,,,,,,,,,,,,,,
73,17.38,,,,,,,,,,,,,,,,,,,,,,,,
74,27.80,,,,,,,,,,,,,,,,,,,,,,,,
75,16.77,,,,,,,,,,,,,,,,,,,,,,,,
76,15.74,,,,,,,,,,,,,,,,,,,,,,,,
77,15.41,,,,,,,,,,,,,,,,,,,,,,,,
