Team Name,Ram Racing,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 24, 2021",,,,,
Race Location,Miami Coral Park Senior High School,,,,,
Race Time Start,1:28 PM,,,,,
Race Time End,2:14 PM,,,,,
Race Type (dropdown),30-Min Most Laps,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,20.72,,,,,
2,19.56,,,,,
3,15.37,,,,,
4,16.39,,,,,
5,18.05,,,,,
6,16.37,,,,,
7,14.76,,,,,
8,14.95,,,,,
9,15.04,,,,,
10,14.64,,,,,
11,15.49,,,,,
12,16.92,,,,,
13,16.40,,,,,
14,17.88,,,,,
15,15.78,,,,,
16,17.79,,,,,
17,16.58,,,,,
18,16.55,,,,,
19,14.98,,,,,
20,15.29,,,,,
21,15.58,,,,,
22,17.06,,,,,
23,18.56,,,,,
24,19.46,,,,,
25,16.33,,,,,
26,16.04,,,,,
27,16.42,,,,,
28,16.32,,,,,
29,16.17,,,,,
30,15.41,,,,,
31,40.84,,,,,
32,17.52,,,,,
33,16.33,,,,,
34,16.81,,,,,
35,15.22,,,,,
36,15.13,,,,,
37,16.53,,,,,
38,16.18,,,,,
39,18.21,,,,,
40,15.05,,,,,
41,17.63,,,,,
42,17.26,,,,,
43,17.52,,,,,
44,17.20,,,,,
45,18.02,,,,,
46,16.64,,,,,
47,17.56,,,,,
48,20.31,,,,,
49,17.76,,,,,
50,17.08,,,,,
51,16.58,,,,,
52,17.41,,,,,
53,17.43,,,,,
54,16.77,,,,,
55,16.23,,,,,
56,117.00,,,,,
57,16.12,,,,,
58,15.18,,,,,
59,16.00,,,,,
60,15.92,,,,,
61,15.68,,,,,
62,19.73,,,,,
63,18.31,,,,,
64,17.02,,,,,
65,31.68,,,,,
66,16.82,,,,,
67,17.43,,,,,
68,17.17,,,,,
69,15.22,,,,,
70,15.89,,,,,
71,16.25,,,,,
72,18.18,,,,,
73,15.33,,,,,
74,15.94,,,,,
75,17.94,,,,,
76,15.81,,,,,
77,17.98,,,,,
78,18.42,,,,,
79,34.80,,,,,
80,16.82,,,,,
81,15.56,,,,,
82,15.79,,,,,
83,17.45,,,,,
84,16.87,,,,,
85,17.47,,,,,
86,15.62,,,,,
87,36.10,,,,,
88,16.75,,,,,
89,23.78,,,,,
90,15.76,,,,,
91,16.84,,,,,
92,18.62,,,,,
93,15.27,,,,,
94,15.48,,,,,
95,15.88,,,,,
96,15.00,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
31,Battery,,,,,
56,Tires,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
