Team Name,Ram Tech 59,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 23, 2021",,,,,
Race Location,Miami Coral Park Senior High School,,,,,
Race Time Start,6:55 PM,,,,,
Race Time End,7:25 PM,,,,,
Race Type (dropdown),30-Min Most Laps,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,15.59,,,,,
2,18.08,,,,,
3,14.66,,,,,
4,14.79,,,,,
5,14.14,,,,,
6,15.21,,,,,
7,13.68,,,,,
8,14.65,,,,,
9,16.30,,,,,
10,14.98,,,,,
11,13.91,,,,,
12,14.10,,,,,
13,14.76,,,,,
14,13.84,,,,,
15,16.41,,,,,
16,14.24,,,,,
17,14.19,,,,,
18,14.31,,,,,
19,14.66,,,,,
20,14.35,,,,,
21,14.31,,,,,
22,14.13,,,,,
23,14.48,,,,,
24,14.48,,,,,
25,14.52,,,,,
26,14.34,,,,,
27,14.54,,,,,
28,14.05,,,,,
29,14.31,,,,,
30,14.00,,,,,
31,13.97,,,,,
32,14.13,,,,,
33,14.10,,,,,
34,30.22,,,,,
35,14.18,,,,,
36,14.15,,,,,
37,15.06,,,,,
38,14.23,,,,,
39,13.95,,,,,
40,14.21,,,,,
41,14.11,,,,,
42,15.02,,,,,
43,14.35,,,,,
44,13.93,,,,,
45,14.50,,,,,
46,16.64,,,,,
47,14.15,,,,,
48,14.90,,,,,
49,13.64,,,,,
50,14.11,,,,,
51,14.74,,,,,
52,14.37,,,,,
53,14.21,,,,,
54,76.00,,,,,
55,15.09,,,,,
56,14.81,,,,,
57,15.21,,,,,
58,15.14,,,,,
59,15.07,,,,,
60,15.20,,,,,
61,15.00,,,,,
62,14.44,,,,,
63,14.99,,,,,
64,14.89,,,,,
65,14.22,,,,,
66,14.70,,,,,
67,14.53,,,,,
68,14.40,,,,,
69,14.33,,,,,
70,14.47,,,,,
71,14.91,,,,,
72,16.64,,,,,
73,14.95,,,,,
74,14.78,,,,,
75,14.89,,,,,
76,14.61,,,,,
77,15.28,,,,,
78,14.82,,,,,
79,14.16,,,,,
80,14.74,,,,,
81,14.59,,,,,
82,14.05,,,,,
83,14.43,,,,,
84,14.60,,,,,
85,14.94,,,,,
86,14.48,,,,,
87,14.67,,,,,
88,14.72,,,,,
89,33.63,,,,,
90,15.08,,,,,
91,14.67,,,,,
92,14.49,,,,,
93,14.81,,,,,
94,14.10,,,,,
95,14.33,,,,,
96,14.49,,,,,
97,14.57,,,,,
98,14.35,,,,,
99,14.55,,,,,
100,15.27,,,,,
101,14.18,,,,,
102,15.74,,,,,
103,13.96,,,,,
104,14.33,,,,,
105,14.29,,,,,
106,14.36,,,,,
107,14.35,,,,,
108,14.60,,,,,
109,14.57,,,,,
110,14.25,,,,,
111,14.47,,,,,
112,13.69,,,,,
113,14.45,,,,,
114,14.60,,,,,
115,14.43,,,,,
116,14.28,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
33,Battery,,,,,
53,Tires,,,,,
88,Battery,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
