Team Name,Viper Nation,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 24, 2021",,,,,
Race Location,Miami Coral Park,,,,,
Race Time Start,3:25 PM,,,,,
Race Time End,3:55 PM,,,,,
Race Type (dropdown),30-Min Most Laps,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,18.11,,,,,
2,18.11,,,,,
3,18.11,,,,,
4,18.11,,,,,
5,18.11,,,,,
6,18.11,,,,,
7,18.11,,,,,
8,18.11,,,,,
9,18.11,,,,,
10,18.11,,,,,
11,18.11,,,,,
12,18.11,,,,,
13,18.11,,,,,
14,18.11,,,,,
15,18.11,,,,,
16,18.11,,,,,
17,18.11,,,,,
18,18.11,,,,,
19,30.00,,,,,
20,18.11,,math for estimation,min,seconds,Total time in seconds
21,18.11,,start,0,36,1798
22,18.11,,end of first clip,23,45,
23,18.11,,end of last lap,6,49,
24,18.11,,,,,
25,18.11,,Assume pits for battery and coold down are 30s,,,90
26,18.11,,Pit for dog bone 60s,,,60
27,18.11,,,,,
28,18.11,,Time Left,,,1648
29,18.11,,,,,
30,18.11,,,,,
31,18.11,,95 laps - 4 = 91,avg time for other laps is,,18.10989011
32,18.11,,,,,18.11
33,18.11,,,,,
34,18.11,,,,,
35,18.11,,,,,
36,18.11,,check = ,1798.00,,
37,18.11,,,,,
38,18.11,,,,,
39,18.11,,,,,
40,18.11,,,,,
41,18.11,,,,,
42,18.11,,,,,
43,18.11,,,,,
44,30.00,,,,,
45,18.11,,,,,
46,18.11,,,,,
47,18.11,,,,,
48,18.11,,,,,
49,18.11,,,,,
50,18.11,,,,,
51,18.11,,,,,
52,18.11,,,,,
53,18.11,,,,,
54,18.11,,,,,
55,18.11,,,,,
56,18.11,,,,,
57,18.11,,,,,
58,18.11,,,,,
59,18.11,,,,,
60,18.11,,,,,
61,18.11,,,,,
62,18.11,,,,,
63,18.11,,,,,
64,18.11,,,,,
65,18.11,,,,,
66,18.11,,,,,
67,30.00,,,,,
68,18.11,,,,,
69,18.11,,,,,
70,18.11,,,,,
71,18.11,,,,,
72,18.11,,,,,
73,18.11,,,,,
74,18.10,,,,,
75,18.11,,,,,
76,18.11,,,,,
77,18.11,,,,,
78,60.00,,,,,
79,18.11,,,,,
80,18.11,,,,,
81,18.11,,,,,
82,18.11,,,,,
83,18.11,,,,,
84,18.11,,,,,
85,18.11,,,,,
86,18.11,,,,,
87,18.11,,,,,
88,18.11,,,,,
89,18.11,,,,,
90,18.11,,,,,
91,18.11,,,,,
92,18.11,,,,,
93,18.11,,,,,
94,18.11,,,,,
95,18.11,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
19,Battery,,,,,
44,General Repair,,,,,
67,Battery,,,,,
78,General Repair,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
