Team Name,microBeast,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 25, 2021",,,,,
Race Location,CSU,,,,,
Race Time Start,,,,,,
Race Time End,,,,,,
Race Type (dropdown),30-Min Most Laps,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,20.35,,,,,
2,19.02,,,,,
3,19.13,,,,,
4,17.22,,,,,
5,18.38,,,,,
6,16.16,,,,,
7,18.87,,,,,
8,17.05,,,,,
9,20.38,,,,,
10,17.32,,,,,
11,18.55,,,,,
12,24.42,,,,,
13,104.25,,,,,
14,17.71,,,,,
15,23.71,,,,,
16,17.17,,,,,
17,20.30,,,,,
18,18.85,,,,,
19,18.40,,,,,
20,17.97,,,,,
21,20.31,,,,,
22,17.95,,,,,
23,27.01,,,,,
24,18.32,,,,,
25,22.34,,,,,
26,24.10,,,,,
27,18.13,,,,,
28,19.18,,,,,
29,19.50,,,,,
30,18.40,,,,,
31,18.57,,,,,
32,19.56,,,,,
33,17.84,,,,,
34,19.99,,,,,
35,17.47,,,,,
36,23.01,,,,,
37,21.77,,,,,
38,25.55,,,,,
39,24.10,,,,,
40,24.33,,,,,
41,21.81,,,,,
42,22.81,,,,,
43,22.44,,,,,
44,21.20,,,,,
45,29.10,,,,,
46,20.55,,,,,
47,73.65,,,,,
48,20.46,,,,,
49,28.63,,,,,
50,21.93,,,,,
51,19.52,,,,,
52,20.77,,,,,
53,20.20,,,,,
54,19.05,,,,,
55,20.83,,,,,
56,27.45,,,,,
57,51.54,,,,,
58,20.05,,,,,
59,23.02,,,,,
60,26.07,,,,,
61,15.98,,,,,
62,19.47,,,,,
63,19.28,,,,,
64,20.08,,,,,
65,23.18,,,,,
66,19.83,,,,,
67,20.81,,,,,
68,17.76,,,,,
69,17.59,,,,,
70,18.95,,,,,
71,18.65,,,,,
72,19.41,,,,,
73,19.04,,,,,
74,19.88,,,,,
75,18.92,,,,,
76,19.35,,,,,
77,20.38,,,,,
78,70.79,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
,,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
13,Tires,,,,,
52,Battery,,,,,
78,Battery,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
