Team Name,Iditarod Racing,,,,,EXAMPLE,,,,,,,,,,,,,,,,,,,
Team ID,1547,,,,,,,,,,,,,,,,,,,,,,,,
Race Date,"April 21, 2021",,,,,,,,,,,,,,,,,,,,,,,,
Race Location,William Amos Hough High School,,,,,,,,,,,,,,,,,,,,,,,,
Race Time Start,5:33 PM,,,,,,,,,,,,,,,,,,,,,,,,
Race Time End,6:03 PM,,,,,,,,,,,,,,,,,,,,,,,,
Race Type (dropdown),30-Min Most Laps,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Result (dropdown),Finished,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Lap Number,Lap Time in seconds,,,,,,,,,,,,,,,,,,,,,,,,
1,14.62,,,,,,,,,,,,,,,,,,,,,,,,
2,14.61,,,,,,,,,,,,,,,,,,,,,,,,
3,14.53,,,,,,,,,,,,,,,,,,,,,,,,
4,14.09,,,,,,,,,,,,,,,,,,,,,,,,
5,13.94,,,,,,,,,,,,,,,,,,,,,,,,
6,14.72,,,,,,,,,,,,,,,,,,,,,,,,
7,14.62,,,,,,,,,,,,,,,,,,,,,,,,
8,14.07,,,,,,,,,,,,,,,,,,,,,,,,
9,14.88,,,,,,,,,,,,,,,,,,,,,,,,
10,14.22,,,,,,,,,,,,,,,,,,,,,,,,
11,14.14,,,,,,,,,,,,,,,,,,,,,,,,
12,14.74,,,,,,,,,,,,,,,,,,,,,,,,
13,14.38,,,,,,,,,,,,,,,,,,,,,,,,
14,14.06,,,,,,,,,,,,,,,,,,,,,,,,
15,14.58,,,,,,,,,,,,,,,,,,,,,,,,
16,14.68,,,,,,,,,,,,,,,,,,,,,,,,
17,14.30,,,,,,,,,,,,,,,,,,,,,,,,
18,14.01,,,,,,,,,,,,,,,,,,,,,,,,
19,14.45,,,,,,,,,,,,,,,,,,,,,,,,
