Team Name,Beast XLR8,,,,,EXAMPLE
Team ID,,,,,,
Race Date,,,,,,
Race Location,,,,,,
Race Time Start,,,,,,
Race Time End,,,,,,
Race Type (dropdown),5-Min Best Lap,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,19.88,,,,,
2,28.25,,,,,
3,19.40,,,,,
4,21.40,,,,,
5,18.67,,,,,
6,19.16,,,,,
7,21.58,,,,,
8,17.60,,,,,
9,16.43,,,,,
10,17.95,,,,,
11,20.14,,,,,
12,17.87,min = ,16.43,,,
13,19.77,,,,,
14,24.13,,,,,
15,22.08,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
2,Unknown,,,,,
7,General Repair,,,,,
10,General Repair,,,,,
13,General Repair,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
