Team Name,Micro Beast,,,,,EXAMPLE
Team ID,,,,,,
Race Date,,,,,,
Race Location,,,,,,
Race Time Start,,,,,,
Race Time End,,,,,,
Race Type (dropdown),5-Min Best Lap,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,22.25,,,,,
2,20.04,,,,,
3,17.94,,,,,
4,19.14,,,,,
5,18.88,,,,,
6,19.60,,,,,
7,20.07,,,,,
8,39.28,,,,,
9,19.97,,,,,
10,20.08,,,,,
11,18.44,,,,,
12,21.69,,,,,
13,18.40,,,,,
,,,,,,
,,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
