Team Name,Ram Racing,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 24, 2021",,,,,
Race Location,Miami Coral Park Senior High School,,,,,
Race Time Start,10:39 AM,,,,,
Race Time End,10:44 AM,,,,,
Race Type (dropdown),5-Min Best Lap,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
0,167.00,,,,,
1,15.05,,,,,
2,15.04,,,,,
3,21.22,,,,,
4,15.67,,,,,
5,17.32,,min = ,15.04,,
6,19.44,,,,,
7,15.10,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
0,General Repair,,,,,
0,General Repair,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
