Team Name,Ram Tech 59,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 23, 2021",,,,,
Race Location,Miami Coral Park Senior High School,,,,,
Race Time Start,5:00 PM,,,,,
Race Time End,5:05 PM,,,,,
Race Type (dropdown),5-Min Best Lap,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,19.06,,,,,
2,17.75,,,,,
3,18.41,,,,,
4,20.85,,,,,
5,17.03,,,,,
6,16.31,,,,,
7,15.04,,,,,
8,15.42,,,,,
9,16.24,,,,,
10,14.75,,,,,
11,14.79,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
3,General Repair,,,,,
4,General Repair,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
