Team Name,Ruff Riders,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 23, 2021",,,,,
Race Location,Miami Coral Park Senior High,,,,,
Race Time Start,4:46,,,,,
Race Time End,5:51,,,,,
Race Type (dropdown),5-Min Best Lap,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,16.01,,,,,
2,16.39,,,,,
3,15.91,,,,,
4,21.63,,,,,
5,16.74,,,,,
6,16.43,min = ,15.41,,,
7,16.33,,,,,
8,16.47,,,,,
9,16.85,,,,,
10,16.55,,,,,
11,16.35,,,,,
12,16.59,,,,,
13,16.38,,,,,
14,15.41,,,,,
15,19.82,,,,,
16,23.16,,,,,
,,,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
