Team Name,Swamp Shifters,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 24, 2021",,,,,
Race Location,Barbra Golman High,,,,,
Race Time Start,10:49 AM,,,,,
Race Time End,10.54  am,,,,,
Race Type (dropdown),5-Min Best Lap,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
0,16.23,,,,,
1,30.14,,,,,
2,17.15,,,,,
3,72.00,,,,,
4,16.41,,,,,
5,15.83,Min =,15.75,,,
6,15.79,,,,,
7,16.00,,,,,
8,17.78,,,,,
9,15.87,,,,,
10,15.75,,,,,
11,15.85,,,,,
12,16.69,,,,,
13,15.95,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
1,General Repair,,,,,
2,General Repair,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
