Team Name,Iditarod Racing,,,,,EXAMPLE,,,,,,,,,,,,,,,,,,,
Team ID,1547,,,,,,,,,,,,,,,,,,,,,,,,
Race Date,"April 21, 2021",,,,,,,,,,,,,,,,,,,,,,,,
Race Location,William Amos Hough High School,,,,,,,,,,,,,,,,,,,,,,,,
Race Time Start,4:58 PM,,,,,,,,,,,,,,,,,,,,,,,,
Race Time End,5:03 PM,,,,,,,,,,,,,,,,,,,,,,,,
Race Type (dropdown),5-Min Best Lap,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Result (dropdown),Finished,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Lap Number,Lap Time in seconds,,,,,,,,,,,,,,,,,,,,,,,,
1,15.71,,,,,,,,,,,,,,,,,,,,,,,,
2,15.94,,,,,,,,,,,,,,,,,,,,,,,,
3,15.84,,,,,,,,,,,,,,,,,,,,,,,,
4,15.76,,,,,,,,,,,,,,,,,,,,,,,,
5,14.95,,,,,,,,,,,,,,,,,,,,,,,,
6,15.29,,,,,,,,,,,,,,,,,,,,,,,,
7,15.79,,,,,,,,,,,,,,,,,,,,,,,,
8,15.25,,,,,,,,,,,,,,,,,,,,,,,,
9,15.52,,,,,,,,,,,,,,,,,,,,,,,,
10,14.91,min = ,14.53,,,,,,,,,,,,,,,,,,,,,,
11,15.52,,,,,,,,,,,,,,,,,,,,,,,,
12,15.43,,,,,,,,,,,,,,,,,,,,,,,,
13,14.82,,,,,,,,,,,,,,,,,,,,,,,,
14,15.44,,,,,,,,,,,,,,,,,,,,,,,,
15,15.45,,,,,,,,,,,,,,,,,,,,,,,,
16,14.53,,,,,,,,,,,,,,,,,,,,,,,,
17,17.14,,,,,,,,,,,,,,,,,,,,,,,,
18,15.24,,,,,,,,,,,,,,,,,,,,,,,,
19,17.89,,,,,,,,,,,,,,,,,,,,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Pit Stop Laps & Reasons,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
