Team Name,Beast XLR8,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 26, 2021",,,,,
Race Location,,,,,,
Race Time Start,,,,,,
Race Time End,,,,,,
Race Type (dropdown),5-Min Consistency,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,18.38,,,,,
2,19.84,,,,,
3,17.48,,,,,
4,18.63,,,,,
5,17.43,,,,,
6,18.15,,,,,
7,18.25,,,,,
8,20.27,,,,,
9,18.51,,,,,
10,19.07,,SD = ,1.670647559,,
11,21.17,,,,,
12,18.12,,,,,
13,23.70,,,,,
14,17.46,,,,,
,,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
