Team Name,Ram Tech 59,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 23, 2021",,,,,
Race Location,Miami Coral Park High,,,,,
Race Time Start,5:24 PM,,,,,
Race Time End,5:29pm,,,,,
Race Type (dropdown),5-Min Consistency,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,15.52,,,,,
2,19.70,,,,,
3,14.70,,,,,
4,15.04,,,,,
5,14.95,,,,,
6,15.57,,,,,
7,15.32,,,,,
8,14.87,,,,,
9,15.04,,,,,
10,15.89,,SD =,1.967861024,,
11,14.86,,,,,
12,15.00,,,,,
13,14.77,,,,,
14,22.30,,,,,
15,15.04,,,,,
16,14.26,,,,,
17,14.43,,,,,
18,14.34,,,,,
19,13.96,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
