Team Name,Ruff Riders,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 23, 2021",,,,,
Race Location,G. Holmes Braddock High,,,,,
Race Time Start,5:13 PM,,,,,
Race Time End,5:18 PM,,,,,
Race Type (dropdown),5-Min Consistency,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,16.27,,,,,
2,16.54,,,,,
3,16.82,,,,,
4,16.07,,,,,
5,15.97,,,,,
6,16.12,,,,,
7,15.78,,SD = ,1.732128588,,
8,15.89,,,,,
9,15.50,,,,,
10,23.24,,,,,
11,16.03,,,,,
12,16.13,,,,,
13,15.50,,,,,
14,15.36,,,,,
15,15.74,,,,,
16,15.29,,,,,
17,15.47,,,,,
18,15.53,,,,,
,,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
