Team Name,Lethal Racers,,,,,EXAMPLE
Team ID,1549,,,,,
Race Date,"April 25, 2021",,,,,
Race Location,"Kansas City, MO",,,,,
Race Time Start,5:30 PM,,,,,
Race Time End,5:35 PM,,,,,
Race Type (dropdown),5-Min Consistency,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,25.65,,,,,
2,31.06,,,,,
3,25.31,,,,,
4,22.94,,,,,
5,21.22,,,,,
6,20.87,6.386482991,,,,
7,32.91,,,,,
8,20.13,,,,,
9,37.43,,,,,
10,37.53,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
