Team Name,Lethal Racers,,Lethal Racers,,Lethal Racers,,Lethal Racers,,Swamp Shifters,,Swamp Shifters,,Swamp Shifters,,Swamp Shifters,,Beast XLR8,,Beast XLR8,,Beast XLR8,,Beast XLR8,,MicroBeast,,MicroBeast,,MicroBeast,,MicroBeast,,Viper Nation,,Viper Nation,,Viper Nation,,Viper Nation,,Ruff Riders,,Ruff Riders,,Ruff Riders,,Ruff Riders,,Racing Royals,,Racing Royals,,Racing Royals,,Racing Royals,,Astro Racing,,Astro Racing,,Astro Racing,,Astro Racing,,King Clam,,King Clam,,King Clam,,King Clam,,RC Lions,,RC Lions,,RC Lions,,RC Lions,,Ram Tech 59,,Ram Tech 59,,Ram Tech 59,,Ram Tech 59,,Ram Racing 5,,Ram Racing 5,,Ram Racing 5,,Ram Racing 5,,Viper Tech,,Viper Tech,,Viper Tech,,Viper Tech,,Talledega Trojans,,Talledega Trojans,,Talledega Trojans,,Talledega Trojans,,Iditarod Racing,,Iditarod Racing,,Iditarod Racing,,Iditarod Racing,,Crimson Bolt,,Crimson Bolt,,Crimson Bolt,,Crimson Bolt,
Team ID,1,,1,,1,,1,,2,,2,,2,,2,,3,,3,,3,,3,,4,,4,,4,,4,,5,,5,,5,,5,,6,,6,,6,,6,,7,,7,,7,,7,,8,,8,,8,,8,,9,,9,,9,,9,,10,,10,,10,,10,,11,,11,,11,,11,,12,,12,,12,,12,,13,,13,,13,,13,,14,,14,,14,,14,,15,,15,,15,,15,,16,,16,,16,,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race Type,5-Min Best Lap,,5-Min Consistency,,10-Min Most Laps,,30-Min Most Laps,,5-Min Best Lap,,5-Min Consistency,,10-Min Most Laps,,30-Min Most Laps,,5-Min Best Lap,,5-Min Consistency,,10-Min Most Laps,,30-Min Most Laps,,5-Min Best Lap,,5-Min Consistency,,10-Min Most Laps,,30-Min Most Laps,,5-Min Best Lap,,5-Min Consistency,,10-Min Most Laps,,30-Min Most Laps,,5-Min Best Lap,,5-Min Consistency,,10-Min Most Laps,,30-Min Most Laps,,5-Min Best Lap,,5-Min Consistency,,10-Min Most Laps,,30-Min Most Laps,,5-Min Best Lap,,5-Min Consistency,,10-Min Most Laps,,30-Min Most Laps,,5-Min Best Lap,,5-Min Consistency,,10-Min Most Laps,,30-Min Most Laps,,5-Min Best Lap,,5-Min Consistency,,10-Min Most Laps,,30-Min Most Laps,,5-Min Best Lap,,5-Min Consistency,,10-Min Most Laps,,30-Min Most Laps,,5-Min Best Lap,,5-Min Consistency,,10-Min Most Laps,,30-Min Most Laps,,5-Min Best Lap,,5-Min Consistency,,10-Min Most Laps,,30-Min Most Laps,,5-Min Best Lap,,5-Min Consistency,,10-Min Most Laps,,30-Min Most Laps,,5-Min Best Lap,,5-Min Consistency,,10-Min Most Laps,,30-Min Most Laps,,5-Min Best Lap,,5-Min Consistency,,10-Min Most Laps,,30-Min Most Laps,
Heat Number,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Result (dropdown),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race Time Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race Time End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
